season,player_id,player_name,position,nfl_team,manager,status,old_salary,years_kept,salary_increase,new_salary
2025,10229,Rashee Rice,WR,KC,Bowen Prestwich,Keeper,9,2,8,17
2025,11624,Xavier Worthy,WR,KC,Bowen Prestwich,Keeper,4,1,7,11
2025,11626,Xavier Legette,WR,CAR,Bowen Prestwich,Keeper,5,1,7,12
2025,11643,Jaylen Wright,RB,MIA,Bowen Prestwich,Keeper,2,1,7,9
2025,2133,Davante Adams,WR,LAR,Bowen Prestwich,Keeper,29,1,7,36
2025,3214,Hunter Henry,TE,NE,Bowen Prestwich,Keeper,2,1,4,6
2025,5850,Josh Jacobs,RB,GB,Bowen Prestwich,Keeper,36,2,8,44
2025,7569,Nico Collins,WR,HOU,Bowen Prestwich,Keeper,8,2,8,16
2025,8150,Kyren Williams,RB,LAR,Bowen Prestwich,Keeper,23,2,8,31
2025,8228,Jaylen Warren,RB,PIT,Bowen Prestwich,Keeper,17,3,9,26
2025,9500,Josh Downs,WR,IND,Bowen Prestwich,Keeper,2,1,7,9
2025,9508,Tyjae Spears,RB,TEN,Bowen Prestwich,Keeper,22,1,7,29
2025,PHI,Philadelphia Eagles,DEF,PHI,Bowen Prestwich,Keeper,0,1,1,1
2025,11646,Jalen Coker,WR,CAR,Braden Hawkins,Keeper,0,1,7,7
2025,11650,Luke McCaffrey,WR,WAS,Braden Hawkins,Keeper,1,1,7,8
2025,2449,Stefon Diggs,WR,NE,Braden Hawkins,Keeper,16,1,7,23
2025,4034,Christian McCaffrey,RB,SF,Braden Hawkins,Keeper,80,3,9,89
2025,4866,Saquon Barkley,RB,PHI,Braden Hawkins,Keeper,53,1,7,60
2025,5846,DK Metcalf,WR,PIT,Braden Hawkins,Keeper,29,1,7,36
2025,5848,Hollywood Brown,WR,KC,Braden Hawkins,Keeper,0,1,7,7
2025,5849,Kyler Murray,QB,ARI,Braden Hawkins,Keeper,2,2,3,5
2025,5987,Alexander Mattison,RB,MIA,Braden Hawkins,Keeper,1,1,7,8
2025,6039,Ty Johnson,RB,BUF,Braden Hawkins,Keeper,0,1,7,7
2025,6659,Craig Reynolds,RB,DET,Braden Hawkins,Keeper,0,1,7,7
2025,7090,Darnell Mooney,WR,ATL,Braden Hawkins,Keeper,0,1,7,7
2025,7526,Jaylen Waddle,WR,MIA,Braden Hawkins,Keeper,38,1,7,45
2025,8130,Trey McBride,TE,ARI,Braden Hawkins,Keeper,14,2,5,19
2025,8259,Cameron Dicker,K,LAC,Braden Hawkins,Keeper,0,1,1,1
2025,8408,Jordan Mason,RB,MIN,Braden Hawkins,Keeper,5,1,7,12
2025,9224,Chase Brown,RB,CIN,Braden Hawkins,Keeper,8,2,8,16
2025,ARI,Arizona Cardinals,DEF,ARI,Braden Hawkins,Keeper,0,1,1,1
2025,11584,Bucky Irving,RB,TB,Clarke Wallace,Keeper,3,1,7,10
2025,11632,Malik Nabers,WR,NYG,Clarke Wallace,Keeper,6,1,7,13
2025,1264,Justin Tucker,K,,Clarke Wallace,Keeper,4,1,1,5
2025,4035,Alvin Kamara,RB,NO,Clarke Wallace,Keeper,36,1,7,43
2025,4137,James Conner,RB,ARI,Clarke Wallace,Keeper,29,4,10,39
2025,4195,Jake Elliott,K,PHI,Clarke Wallace,Keeper,5,1,1,6
2025,4217,George Kittle,TE,SF,Clarke Wallace,Keeper,20,2,5,25
2025,4881,Lamar Jackson,QB,BAL,Clarke Wallace,Keeper,22,1,2,24
2025,4981,Calvin Ridley,WR,TEN,Clarke Wallace,Keeper,20,3,9,29
2025,5001,Dalton Schultz,TE,HOU,Clarke Wallace,Keeper,4,1,4,8
2025,6783,Jerry Jeudy,WR,CLE,Clarke Wallace,Keeper,1,1,7,8
2025,6797,Justin Herbert,QB,LAC,Clarke Wallace,Keeper,8,1,2,10
2025,8144,Chris Olave,WR,NO,Clarke Wallace,Keeper,19,3,9,28
