# ESPN Live Draft Trends — raw average live-draft salary, ESPN $200 auction (imported 2026-08-15)
name,position,team,value
Jahmyr Gibbs,RB,DET,64
Bijan Robinson,RB,ATL,63
Ja'Marr Chase,WR,CIN,58
Puka Nacua,WR,LAR,58
Jaxon Smith-Njigba,WR,SEA,55
Christian McCaffrey,RB,SF,53
Amon-Ra St. Brown,WR,DET,52
Jonathan Taylor,RB,IND,51
CeeDee Lamb,WR,DAL,47
De'Von Achane,RB,MIA,46
Justin Jefferson,WR,MIN,46
James Cook III,RB,BUF,44
Ashton Jeanty,RB,LV,38
Jeremiyah Love,RB,ARI,38
Drake London,WR,ATL,37
Saquon Barkley,RB,PHI,37
Trey McBride,TE,ARI,35
Derrick Henry,RB,BAL,34
Omarion Hampton,RB,LAC,34
Rashee Rice,WR,KC,33
Chase Brown,RB,CIN,32
Kenneth Walker III,RB,KC,31
Brock Bowers,TE,LV,30
Josh Allen,QB,BUF,29
A.J. Brown,WR,NE,28
Nico Collins,WR,HOU,28
George Pickens,WR,DAL,27
Josh Jacobs,RB,GB,26
Breece Hall,RB,NYJ,24
Chris Olave,WR,NO,24
Garrett Wilson,WR,NYJ,24
Javonte Williams,RB,DAL,23
Malik Nabers,WR,NYG,22
Kyren Williams,RB,LAR,21
DeVonta Smith,WR,PHI,20
Tetairoa McMillan,WR,CAR,19
Zay Flowers,WR,BAL,19
Cam Skattebo,RB,NYG,18
Emeka Egbuka,WR,TB,18
Davante Adams,WR,LAR,16
Quinshon Judkins,RB,CLE,16
Travis Etienne Jr.,RB,NO,16
Bucky Irving,RB,TB,15
Ladd McConkey,WR,LAC,15
Lamar Jackson,QB,BAL,15
Colston Loveland,TE,CHI,13
Tee Higgins,WR,CIN,13
Tyler Warren,TE,IND,13
Drake Maye,QB,NE,12
Jaylen Waddle,WR,DEN,12
Terry McLaurin,WR,WAS,12
Jayden Daniels,QB,WAS,11
Jalen Hurts,QB,PHI,10
Jameson Williams,WR,DET,10
Carnell Tate,WR,TEN,9
DJ Moore,WR,BUF,9
Joe Burrow,QB,CIN,9
Bhayshul Tuten,RB,JAX,8
